Nom,Code,Categorie,Stock,Prix,Cout,Expiration,Fournisseur,Min
Metformine 500mg,6291001100062,Diabete,180,3800,2400,2027-08-18,Cipla,35
Glibenclamide 5mg,6291001100063,Diabete,140,2500,1500,2027-06-22,Cipla,30
Gliclazide 80mg,6291001100064,Diabete,110,3500,2200,2027-05-12,Cipla,25
Insuline NPH,6291001100065,Diabete,40,18500,12500,2026-10-15,NovoNordisk,10
Bandelettes glycemie,6291001100066,Diabete,80,12500,8500,2027-08-30,Accu-Chek,20
Glucometre,6291001100067,Diabete,12,22500,14500,2030-01-01,Accu-Chek,5
Diazepam 5mg,6291001100068,Neurologie,80,3500,2200,2027-01-18,Sanofi,20
Carbamazepine 200mg,6291001100069,Neurologie,90,4200,2700,2027-05-28,Sanofi,20
Phenobarbital 100mg,6291001100070,Neurologie,70,3200,2000,2027-04-15,Sanofi,15
Paracetamol sirop pediatrique,6291001100071,Pediatrie,150,3500,2200,2027-08-08,Shalina,30
Amoxicilline sirop pediatrique,6291001100072,Pediatrie,100,6500,4200,2026-12-22,Cipla,25
Vitamine A capsule,6291001100073,Pediatrie,250,500,300,2027-10-30,UNICEF,50
Mebendazole sirop pediatrique,6291001100074,Pediatrie,120,2500,1500,2027-07-18,Cipla,25
ORS pediatrique,6291001100075,Pediatrie,200,800,500,2027-11-15,UNICEF,40
Eau oxygenee 10 vol,6291001100076,Antiseptique,180,1500,900,2028-01-15,Cooper,40
Alcool 70% 250ml,6291001100077,Antiseptique,200,2200,1400,2028-03-20,Cooper,50
Betadine solution 125ml,6291001100078,Antiseptique,140,4500,2900,2027-06-10,Meda,30
Compresses steriles,6291001100079,Pansement,300,800,500,2029-01-10,Hartmann,60
Bandes elastiques,6291001100080,Pansement,200,1200,750,2029-02-15,Hartmann,40
Sparadrap rouleau,6291001100081,Pansement,250,1500,900,2029-03-20,Hartmann,50
Coton hydrophile 100g,6291001100082,Pansement,180,1800,1100,2029-01-25,Cooper,40
Seringues 5ml,6291001100083,Materiel,500,300,180,2029-06-15,BBraun,100
Seringues 10ml,6291001100084,Materiel,400,400,250,2029-06-15,BBraun,80
Gants latex paire,6291001100085,Materiel,600,250,150,2028-12-20,Ansell,120
Thermometre digital,6291001100086,Materiel,40,8500,5500,2030-01-01,Omron,10
Tensiometre,6291001100087,Materiel,15,28500,18500,2030-01-01,Omron,5
Preservatifs boite 12,6291001100088,Contraception,200,1500,900,2028-05-15,Durex,40
Pilule contraceptive,6291001100089,Contraception,140,3500,2200,2027-09-22,Bayer,30
Test de grossesse,6291001100090,Diagnostic,120,2500,1500,2027-12-18,SD Biosensor,30
Test paludisme RDT,6291001100091,Diagnostic,150,3500,2200,2027-10-12,SD Biosensor,30
Test VIH RDT,6291001100092,Diagnostic,100,4500,2900,2027-08-25,SD Biosensor,25
Pommade ophtalmique tetracycline,6291001100093,Ophtalmologie,90,3200,2000,2027-04-18,Cipla,20
Collyre antibiotique,6291001100094,Ophtalmologie,80,4500,2900,2027-05-22,Cipla,20
Pommade dentaire,6291001100095,Dentaire,100,2800,1800,2027-07-08,Pierre Fabre,25
Bain de bouche 250ml,6291001100096,Dentaire,120,4200,2700,2027-09-15,Listerine,25
